OBJECTID,NameInt,GlobalID,Seg_ID_Score,Seg_Bk_Score,Seg_LL_Score,Seg_Wd_Score,GridNormScore,CSScore,Pop2015,Ones,Twos,Threes,GridScrRounded
311,1509,0ae8fae4-d1be-4b42-a07d-5b5f2e3c47f4,3,6,1,0,13.114754,0.461538,1997.875493,12,5,3,1
312,2183,d88ef2ab-1bfe-493b-b05b-d3dde3a4771c,0,3,1,0,4.918033,0.173077,5624.081175,96,3,0,1
313,412,100dca70-1266-470b-8c8a-e644c6afa050,3,8,4,4,22.95082,0.807692,1832.208316,17,11,3,1
314,1451,7c2d4c41-0ac7-489d-809e-f5ebc56b9e73,0,0,0,0,0,0,0.383074,,,0,1
315,1511,5720d55c-ce88-4edc-9081-924b8033e598,2,5,8,1,14.754098,0.519231,335.328741,0,7,2,1
316,551,4cbd96c4-802d-404e-8bbf-87d15ebf2b88,0,16,2,4,31.147541,1.096154,5452.255541,97,19,0,3
317,2185,72705635-c53a-46de-ae7e-c855bab8a261,0,4,2,0,8.196721,0.288462,3706.980257,68,5,0,1
318,1952,8628b7fa-caa1-4c39-9235-33e1f8e75f09,0,10,2,0,16.393443,0.576923,1348.834287,12,10,0,1
319,1184,8a18660f-2bf0-4476-acf3-f81075c4a84e,0,8,5,0,18.032787,0.634615,5527.79977,33,11,0,1
320,1512,203c80dd-7779-4d6a-afb1-9bb2bb1239dd,1,17,10,3,31.147541,1.096154,3896.616213,8,18,1,3
321,1452,d5c6c263-fcfd-4cb6-bd63-32f76d5e8786,0,2,6,0,13.114754,0.461538,2989.083855,108,8,0,1
322,413,0addb2f3-6bfd-4586-b404-d0bb1ed64c0c,0,9,2,2,14.754098,0.519231,1030.678186,5,9,0,1
323,1954,0eb1fbea-ded1-4f74-8a80-d870724466ef,1,12,0,0,21.311475,0.75,4487.027266,34,12,1,1
324,2187,7638d453-bdf4-40bf-b8a0-952616a2d9f0,0,6,1,0,11.47541,0.403846,4284.09831,52,7,0,1
